Debtor Name,Industry Division,Industry Group,Cause,Date Filed,Disposition,¤363 Sale,Duration,Inc. State,District Filed,City Filed,Forum Shopping,Filing Party,Plan Type,Employees,Business Survival,Refiled,Headquarters City,Date Disposed,Asset Size,Employee Size,Annual Sales,Assets (millions),Chapter at Filing,Debtor's Attorney
1st Centennial Bancorp,"H: Finance, Insurance, And Real Estate",60 Depository Institutions,Not tort,3/25/09,Chapter 7 at filing,Chapter 7 at filing,,CA,CA CD,Riverside,Filed at headquarters,debtors,not applicable,148,company did not emerge,not emerged 5 years,CA Riverside,,c $500 million but less than $1billion,e Less than 200,"$65,378,117 ",$845 ,Chapter 7,Reid Hellyer
"21st Century Oncology Holdings, Inc.",I: Services,80 Health Services,Not tort,5/25/17,confirmed,no 363 sale,231,DE,NY SD,White Plains,Forum Shop,debtors,prenegotiated,"3,930",Company emerged,not emerged 5 years,FL Fort Myers,1/11/18,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,148,641,882 ","$1,201 ",Chapter 11,Kirkland Ellis
"A. H. Robins Company, Inc.",D: Manufacturing,28 Chemicals and Allied Products,Other products,8/21/85,confirmed,no 363 sale,"1,069",VA,VA ED,Richmond,Filed at headquarters,debtors,free fall,"6,000",Company emerged,"emerged 5 years, did not refile",VA Richmond,7/25/88,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,523,992,373 ","$1,563 ",Chapter 11,Murphy Sheneman
A. M. Castle & Co.,F: Wholesale Trade,50 Wholesale Trade-durable Goods,Not tort,6/18/17,confirmed,no 363 sale,45,MD,DE,Wilmington,Forum Shop,debtors,prepackaged,908,Company emerged,not emerged 5 years,IL Chicago,8/2/17,d Less than $500 million,"d 200 but less than 1,000","$566,927,448 ",$350 ,Chapter 11,Pachulski Stang
"A123 Systems, Inc.",D: Manufacturing,36 Electronic And Other Electrical Equipment And Components,Not tort,10/16/12,confirmed,363 sale,216,DE,DE,Wilmington,Forum Shop,debtors,free fall,"1,983",Company emerged,"emerged 5 years, did not refile",MA Boston,5/20/13,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$179,207,130 ",$705 ,Chapter 11,Latham Watkins
"AAC Holdings, Inc.",I: Services,80 Health Services,Not tort,6/20/20,confirmed,no 363 sale,122,NV,DE,Wilmington,Forum Shop,debtors,prenegotiated,"1,900",Company emerged,not emerged 5 years,TN Nashville,10/20/20,d Less than $500 million,"c 1,000 but less than 10,000","$298,834,244 ",$457 ,Chapter 11,Greenberg Traurig
aaiPharma Inc.,I: Services,"87 Engineering, Accounting, Research, Management, and Related Services",Fraud?,5/10/05,confirmed,no 363 sale,255,DE,DE,Wilmington,Forum Shop,debtors,free fall,924,Company emerged,"emerged 5 years, did not refile",NC Wilmington,1/20/06,d Less than $500 million,"d 200 but less than 1,000","$288,517,831 ",$454 ,Chapter 11,Fried Frank
"ABC-NACO, Inc.",D: Manufacturing,"34 Fabricated Metal Products, Except Machinery and Transportation Equipment",Not tort,10/18/01,dismissed,363 sale,917,DE,IL ND,Chicago,Filed at headquarters,debtors,free fall,"4,418",Company emerged,"emerged 5 years, did not refile",IL Chicago,4/22/04,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$706,812,396 ",$695 ,Chapter 11,D'Ancona Pflaum
AbitibiBowater Inc.,D: Manufacturing,26 Paper and Allied Products,Not tort,4/16/09,confirmed,no 363 sale,586,DE,DE,Wilmington,Forum Shop,debtors,free fall,"15,900",Company emerged,"emerged 5 years, did not refile",Outside United States,11/23/10,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000","$8,272,370,797 ","$9,862 ",Chapter 11,Paul Weiss
Acceptance Insurance Companies Inc.,"H: Finance, Insurance, And Real Estate",63 Insurance Carriers,Not tort,1/7/05,converted,no 363 sale,"2,069",DE,NE,Omaha,Forum Shop,debtors,free fall,23,company did not emerge,not emerged 5 years,IA Council Bluffs,9/7/10,d Less than $500 million,e Less than 200,"$5,463,534 ",$381 ,Chapter 11,Kutak Rock
Accuride Corporation,D: Manufacturing,37 Transportation Equipment,Not tort,10/8/09,confirmed,no 363 sale,133,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,"2,980",Company emerged,"emerged 5 years, did not refile",IN Evansville,2/18/10,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$1,122,145,365 ",$974 ,Chapter 11,Latham Watkins
Aceto Corporation,F: Wholesale Trade,51 Wholesale Trade-non-durable Goods,Not tort,2/19/19,confirmed,363 sale,211,NY,NJ,Newark,Forum Shop,debtors,free fall,315,company did not emerge,not emerged 5 years,NY Central Islip,9/18/19,c $500 million but less than $1billion,"d 200 but less than 1,000","$733,022,614 ",$518 ,Chapter 11,Lowenstein Sandler
"Acme Metals, Incorporated",D: Manufacturing,33 Primary Metal Industries,Not tort,9/28/98,confirmed,no 363 sale,"1,495",DE,DE,Wilmington,Forum Shop,debtors,free fall,"2,471",company did not emerge,not emerged 5 years,IL Chicago,11/1/02,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$777,011,774 ","$1,320 ",Chapter 11,Hughes Hubbard
"ACT Manufacturing, Inc.",D: Manufacturing,36 Electronic And Other Electrical Equipment And Components,Not tort,12/21/01,confirmed,363 sale,600,MA,MA,Worcester,Forum Shop,debtors,free fall,"8,800",company did not emerge,not emerged 5 years,MA Boston,8/13/03,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$2,020,405,571 ","$1,574 ",Chapter 11,Mintz Levin
Acterna Corp.,D: Manufacturing,"38 Measuring, Analyzing and Controlling Instruments; Photographic, Medical",Not tort,5/6/03,confirmed,no 363 sale,142,DE,NY SD,New York,Forum Shop,debtors,prenegotiated,"2,840",Company emerged,"emerged 5 years, did not refile",MD Greenbelt,9/25/03,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$965,739,648 ",$577 ,Chapter 11,Weil Gotshal
"Adelphia Business Solutions, Inc.","E: Transportation, Communications, Electric, Gas",48 Communications,Fraud,3/27/02,confirmed,no 363 sale,632,DE,NY SD,New York,Forum Shop,debtors,free fall,"2,774",Company emerged,"emerged 5 years, did not refile",PA Williamsport,12/19/03,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$512,789,978 ","$2,753 ",Chapter 11,Weil Gotshal
Adelphia Communications Corp.,"E: Transportation, Communications, Electric, Gas",48 Communications,Fraud,6/25/02,confirmed,363 sale,"1,655",DE,NY SD,New York,Forum Shop,debtors,free fall,"15,735",company did not emerge,not emerged 5 years,PA Williamsport,1/5/07,a $10 billion and over,"b 10,000 but less than 30,000","$4,211,889,194 ","$31,129 ",Chapter 11,Willkie Farr
Adeptus Health Inc.,I: Services,80 Health Services,Not tort,4/19/17,confirmed,no 363 sale,163,DE,TX ND,Dallas,Forum Shop,debtors,free fall,"3,202",Company emerged,not emerged 5 years,TX Plano,9/29/17,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$448,048,004 ",$560 ,Chapter 11,Norton Rose
Advanced GlassFiber Yarns LLC,D: Manufacturing,"32 Stone, Clay, Glass, And Concrete Products",Not tort,12/10/02,confirmed,no 363 sale,454,DE,DE,Wilmington,Forum Shop,debtors,free fall,"1,492",Company emerged,"emerged 5 years, did not refile",SC Columbia,3/8/04,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$297,049,791 ",$594 ,Chapter 11,Proskauer Rose
Advanced Radio Telecom Corp.,"E: Transportation, Communications, Electric, Gas",48 Communications,Not tort,4/20/01,confirmed,no 363 sale,194,DE,DE,Wilmington,Forum Shop,debtors,free fall,105,Company emerged,"emerged 5 years, did not refile",WA Seattle,10/31/01,c $500 million but less than $1billion,e Less than 200,"$1,827,294 ",$671 ,Chapter 11,Pachulski Stang
Advanta Corp.,"H: Finance, Insurance, And Real Estate",61 Non-depository Credit Institutions,Not tort,11/8/09,confirmed,no 363 sale,460,DE,DE,Wilmington,Forum Shop,debtors,free fall,841,company did not emerge,not emerged 5 years,PA Reading,2/11/11,b $1 billion but less than $10 billion,"d 200 but less than 1,000","$588,836,295 ","$4,319 ",Chapter 11,Weil Gotshal
"Aeropostale, Inc.",G: Retail Trade,56 Apparel And Accessory Stores,Not tort,5/4/16,confirmed,363 sale,695,DE,NY SD,New York,Filed at headquarters,debtors,free fall,"20,330",company did not emerge,not emerged 5 years,NY New York,3/30/18,d Less than $500 million,"b 10,000 but less than 30,000","$1,633,856,341 ",$384 ,Chapter 11,Weil Gotshal
"AgriBioTech, Inc.",A: Agricultural Production Crops,01 Crops,Not tort,1/25/00,confirmed,363 sale,440,NV,NV,Las Vegas,Filed at headquarters,debtors,free fall,826,company did not emerge,not emerged 5 years,NV Las Vegas,4/9/01,c $500 million but less than $1billion,"d 200 but less than 1,000","$571,643,215 ",$528 ,Chapter 11,Pachulski Stang
Agway Inc.,D: Manufacturing,20 Food and Kindred Products,Not tort,10/1/02,confirmed,363 sale,575,DE,NY ND,Utica,Filed at headquarters,debtors,free fall,"4,200",company did not emerge,not emerged 5 years,NY Utica,4/28/04,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,292,936,617 ","$2,262 ",Chapter 11,Weil Gotshal
"Ahern Rentals, Inc.",I: Services,73 Business Services,Not tort,12/22/11,confirmed,no 363 sale,532,NV,NV,Reno,Forum Shop,debtors,free fall,"1,580",Company emerged,"emerged 5 years, did not refile",NV Las Vegas,6/6/13,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$328,167,554 ",$725 ,Chapter 11,Gordon Silver
Air Florida System Inc.,"E: Transportation, Communications, Electric, Gas",45 Transportation By Air,Not tort,7/3/84,confirmed,363 sale,765,DE,FL SD,Miami,Filed at headquarters,debtors,free fall,"1,400",Company emerged,"emerged 5 years, part refiled",FL Miami,8/7/86,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$545,784,359 ",$573 ,Chapter 11,Carlton Fields
"Akorn, Inc.",D: Manufacturing,28 Chemicals and Allied Products,Not tort,5/20/20,confirmed,363 sale,107,LA,DE,Wilmington,Forum Shop,debtors,prenegotiated,"2,227",Company emerged,not emerged 5 years,IL Chicago,9/4/20,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$693,288,499 ","$1,309 ",Chapter 11,Kirkland Ellis
"Al Copeland Enterprises, Inc.",G: Retail Trade,58 Eating and Drinking Places,Not tort,4/4/91,confirmed,no 363 sale,567,TX,TX WD,San Antonio,Forum Shop,creditors,free fall,"14,200",Company emerged,"emerged 5 years, did not refile",LA New Orleans,10/22/92,c $500 million but less than $1billion,"b 10,000 but less than 30,000","$886,382,233 ",$824 ,Chapter 11,Proskauer Rose
"Aleris International, Inc.",D: Manufacturing,33 Primary Metal Industries,Not tort,2/12/09,confirmed,no 363 sale,455,DE,DE,Wilmington,Forum Shop,debtors,free fall,"8,800",Company emerged,"emerged 5 years, did not refile",OH Cleveland,5/13/10,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$7,352,559,909 ","$6,285 ",Chapter 11,Weil Gotshal
Alexanders Inc.,G: Retail Trade,53 General Merchandise Stores,Not tort,5/15/92,confirmed,no 363 sale,494,DE,NY SD,New York,Filed at headquarters,debtors,free fall,"7,200",Company emerged,"emerged 5 years, did not refile",NY New York,9/21/93,d Less than $500 million,"c 1,000 but less than 10,000","$802,280,430 ",$351 ,Chapter 11,Shearman Sterling
"Allegheny International, Inc.",D: Manufacturing,36 Electronic And Other Electrical Equipment And Components,Not tort,2/20/88,confirmed,no 363 sale,873,PA,PA WD,Pittsburgh,Filed at headquarters,debtors,free fall,"12,800",Company emerged,"emerged 5 years, did not refile",PA Pittsburgh,7/12/90,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000","$1,948,494,406 ","$1,910 ",Chapter 11,Buchanan Ingersoll
Allegiance Telecom Inc.,"E: Transportation, Communications, Electric, Gas",48 Communications,Not tort,5/14/03,confirmed,363 sale,393,DE,NY SD,New York,Forum Shop,debtors,free fall,"3,814",company did not emerge,not emerged 5 years,TX Dallas,6/10/04,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,094,391,092 ","$2,046 ",Chapter 11,Kirkland Ellis
Alliance Entertainment Corp.,F: Wholesale Trade,50 Wholesale Trade-durable Goods,Not tort,7/14/97,confirmed,no 363 sale,381,DE,NY SD,New York,Filed at headquarters,debtors,free fall,"1,850",Company emerged,"emerged 5 years, did not refile",NY New York,7/30/98,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$1,121,579,946 ",$995 ,Chapter 11,Willkie Farr
"Allied Holdings, Inc.","E: Transportation, Communications, Electric, Gas",42 Motor Freight Transportation And Warehousing,Not tort,7/31/05,confirmed,no 363 sale,656,GA,GA ND,Newnan,Forum Shop,debtors,free fall,"6,400",Company emerged,"emerged 5 years, did not refile",GA Atlanta,5/18/07,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$1,193,345,501 ",$561 ,Chapter 11,Troutman Sanders
Allied Nevada Gold Corp.,B: Mining,10 Metal Mining,Not tort,3/10/15,confirmed,no 363 sale,212,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,459,Company emerged,not emerged 5 years,NV Reno,10/8/15,b $1 billion but less than $10 billion,"d 200 but less than 1,000","$342,444,452 ","$1,038 ",Chapter 11,Akin Gump
Allied Products Corp.,D: Manufacturing,35 Industrial and Commercial Machinery and Computer Equipment,Not tort,10/2/00,confirmed,no 363 sale,"1,046",DE,IL ND,Chicago,Filed at headquarters,debtors,free fall,800,company did not emerge,not emerged 5 years,IL Chicago,8/14/03,d Less than $500 million,"d 200 but less than 1,000","$215,227,870 ",$384 ,Chapter 11,Althheimer Gray
Allis-Chalmers Corp.,D: Manufacturing,35 Industrial and Commercial Machinery and Computer Equipment,Not tort,6/29/87,confirmed,363 sale,490,DE,NY SD,New York,Forum Shop,debtors,free fall,"10,956",Company emerged,"emerged 5 years, did not refile",WI Milwaukee,10/31/88,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000","$1,171,100,284 ","$1,300 ",Chapter 11,Davis Polk
"Alpha Natural Resources, Inc.",B: Mining,12 Coal Mining,Not tort,8/3/15,confirmed,no 363 sale,344,DE,VA ED,Richmond,Forum Shop,debtors,free fall,"8,900",Company emerged,not emerged 5 years,VA Roanoke,7/12/16,a $10 billion and over,"c 1,000 but less than 10,000","$4,685,679,329 ","$11,734 ",Chapter 11,Jones Day
"Alta Mesa Resources, Inc. (Alta Mesa Holdings, LP)",B: Mining,13 Oil And Gas Extraction,Not tort,9/11/19,confirmed,363 sale,259,DE,TX SD,Houston,Filed at headquarters,debtors,free fall,154,company did not emerge,not emerged 5 years,TX Houston,5/27/20,b $1 billion but less than $10 billion,e Less than 200,"$474,748,075 ","$1,377 ",Chapter 11,Latham Watkins
Alterra HealthCare Corp,I: Services,83 Social Services,Not tort,1/22/03,confirmed,no 363 sale,308,DE,DE,Wilmington,Forum Shop,debtors,free fall,"11,800",Company emerged,"emerged 5 years, did not refile",WI Milwaukee,11/26/03,c $500 million but less than $1billion,"b 10,000 but less than 30,000","$597,377,121 ",$962 ,Chapter 11,Rogers Hardin
"AM International, Inc. (1982)",D: Manufacturing,35 Industrial and Commercial Machinery and Computer Equipment,Not tort,4/14/82,confirmed,no 363 sale,881,DE,IL ND,Chicago,Filed at headquarters,debtors,free fall,"17,250",Company emerged,"emerged 5 years, did not refile",IL Chicago,9/11/84,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000","$1,791,512,176 ","$1,499 ",Chapter 11,Wilmer Cutler
"AM International, Inc. (1993)",F: Wholesale Trade,50 Wholesale Trade-durable Goods,Not tort,5/17/93,confirmed,no 363 sale,135,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,"5,022",Company emerged,"emerged 5 years, did not refile",IL Chicago,9/29/93,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$1,117,664,671 ",$797 ,Chapter 11,Young Conaway
Amarex Inc.,B: Mining,13 Oil And Gas Extraction,Not tort,12/2/82,confirmed,no 363 sale,"1,029",DE,OK WD,Oklahoma City,Filed at headquarters,creditors,free fall,272,company did not emerge,not emerged 5 years,OK Oklahoma City,9/26/85,b $1 billion but less than $10 billion,"d 200 but less than 1,000","$141,192,387 ","$1,062 ",Chapter 11,Rochelle King
"Ambac Financial Group, Inc.","H: Finance, Insurance, And Real Estate",63 Insurance Carriers,Not tort,11/8/10,confirmed,no 363 sale,492,DE,NY SD,New York,Filed at headquarters,debtors,prenegotiated,293,Company emerged,"emerged 5 years, did not refile",NY New York,3/14/12,a $10 billion and over,"d 200 but less than 1,000","$4,656,087,480 ","$22,483 ",Chapter 11,Dewey LeBoeuf
Amcast Industrial Corporation (2004),D: Manufacturing,"34 Fabricated Metal Products, Except Machinery and Transportation Equipment",Not tort,11/30/04,confirmed,no 363 sale,241,OH,OH SD,Dayton,Filed at headquarters,debtors,prenegotiated,"2,315",Company emerged,"emerged 5 years, refiled",OH Dayton,7/29/05,d Less than $500 million,"c 1,000 but less than 10,000","$578,115,906 ",$314 ,Chapter 11,Thompson Hine
Amcast Industrial Corporation (2005),D: Manufacturing,"34 Fabricated Metal Products, Except Machinery and Transportation Equipment",Not tort,12/1/05,confirmed,363 sale,495,OH,IN SD,Indianapolis,Forum Shop,debtors,free fall,"2,315",company did not emerge,not emerged 5 years,IN Fort Wayne,4/10/07,d Less than $500 million,"c 1,000 but less than 10,000","$561,077,937 ",$304 ,Chapter 11,Dann Pecar
"AMCORE Financial, Inc.","H: Finance, Insurance, And Real Estate",60 Depository Institutions,Not tort,8/19/10,confirmed,no 363 sale,118,NV,IL ND,Chicago,Filed at headquarters,debtors,free fall,962,company did not emerge,not emerged 5 years,IL Chicago,12/15/10,b $1 billion but less than $10 billion,"d 200 but less than 1,000","$328,284,195 ","$4,507 ",Chapter 11,Skadden Arps
Amdura Corp.,F: Wholesale Trade,50 Wholesale Trade-durable Goods,Not tort,4/2/90,confirmed,no 363 sale,535,MN,CO,Denver,Filed at headquarters,debtors,free fall,"3,664",Company emerged,"emerged 5 years, did not refile",CO Denver,9/19/91,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$316,681,016 ",$611 ,Chapter 11,Winston Strawn
Amerco,I: Services,"75 Automotive Repair, Services, and Parking",Not tort,6/20/03,confirmed,no 363 sale,245,NV,NV,Reno,Filed at headquarters,debtors,free fall,"16,145",Company emerged,"emerged 5 years, did not refile",NV Reno,2/20/04,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000","$3,023,578,505 ","$5,396 ",Chapter 11,Squire Sanders
America West Airlines Inc.,"E: Transportation, Communications, Electric, Gas",45 Transportation By Air,Not tort,6/27/91,confirmed,no 363 sale,"1,140",DE,AZ,Phoenix,Filed at headquarters,debtors,free fall,"12,933",Company emerged,"emerged 5 years, did not refile",AZ Phoenix,8/10/94,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000","$2,520,093,611 ","$2,232 ",Chapter 11,Faegre
"American Apparel, Inc. (2015)","H: Finance, Insurance, And Real Estate",67 Holding And Other Investment Offices,Not tort,10/5/15,confirmed,no 363 sale,114,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,"10,000",Company emerged,not emerged 5 years,CA Los Angeles,1/27/16,d Less than $500 million,"b 10,000 but less than 30,000","$666,841,608 ",$322 ,Chapter 11,Jones Day
"American Apparel, Inc. (2016)","H: Finance, Insurance, And Real Estate",67 Holding And Other Investment Offices,Not tort,11/14/16,confirmed,363 sale,744,DE,DE,Wilmington,Forum Shop,debtors,free fall,"10,000",company did not emerge,not emerged 5 years,CA Los Angeles,11/28/18,d Less than $500 million,"b 10,000 but less than 30,000","$657,129,907 ",$318 ,Chapter 11,Jones Day
American Banknote Corporation,D: Manufacturing,"27 Printing, Publishing, And Allied Industries",Fraud,12/8/99,confirmed,no 363 sale,988,DE,NY SD,New York,Filed at headquarters,debtors,prenegotiated,"3,390",Company emerged,"emerged 5 years, refiled",NY New York,8/22/02,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$520,019,394 ",$780 ,Chapter 11,Skadden Arps
"American Business Financial Services, Inc.","H: Finance, Insurance, And Real Estate",61 Non-depository Credit Institutions,Not tort,1/21/05,converted,no 363 sale,116,DE,DE,Wilmington,Forum Shop,debtors,free fall,969,company did not emerge,not emerged 5 years,PA Philadelphia,5/17/05,b $1 billion but less than $10 billion,"d 200 but less than 1,000","$132,589,052 ","$1,424 ",Chapter 11,Blank Rome
American Carriers Inc.,"E: Transportation, Communications, Electric, Gas",42 Motor Freight Transportation And Warehousing,Not tort,8/16/88,confirmed,no 363 sale,"1,028",DE,KS,Topeka,Forum Shop,debtors and creditors,free fall,"9,700",Company emerged,"emerged 5 years, did not refile",KS Kansas City,6/10/91,d Less than $500 million,"c 1,000 but less than 10,000","$1,034,118,991 ",$458 ,Chapter 11,Winston Strawn
American Classic Voyages Co.,"E: Transportation, Communications, Electric, Gas",44 Water Transportation,Not tort,10/19/01,confirmed,no 363 sale,475,DE,DE,Wilmington,Forum Shop,debtors,free fall,"1,857",company did not emerge,not emerged 5 years,IL Chicago,2/6/03,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$323,943,467 ","$1,103 ",Chapter 11,Latham Watkins
American Commercial Lines LLC,"E: Transportation, Communications, Electric, Gas",44 Water Transportation,Not tort,1/31/03,confirmed,no 363 sale,699,DE,IN SD,"New Albany, IN",Filed at headquarters,debtors,free fall,"3,528",Company emerged,"emerged 5 years, did not refile",IN New Albany,12/30/04,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,021,901,001 ","$1,166 ",Chapter 11,Baker Daniels
American Continental Corporation,"H: Finance, Insurance, And Real Estate",67 Holding And Other Investment Offices,Not tort,4/13/89,confirmed,no 363 sale,596,OH,AZ,Phoenix,Filed at headquarters,debtors,free fall,"1,790",company did not emerge,not emerged 5 years,AZ Phoenix,11/30/90,a $10 billion and over,"c 1,000 but less than 10,000","$1,519,858,384 ","$10,781 ",Chapter 11,Lewis Roca
American Eco Corp.,I: Services,76 Miscellaneous Repair Services,Not tort,8/4/00,converted,363 sale,691,Canada,DE,Wilmington,Forum Shop,debtors,free fall,"1,826",company did not emerge,not emerged 5 years,TX Houston,6/26/02,d Less than $500 million,"c 1,000 but less than 10,000","$389,018,220 ",$357 ,Chapter 11,Lowenstein Sandler
"American Healthcare Management, Inc.",I: Services,80 Health Services,Not tort,8/7/87,confirmed,no 363 sale,791,DE,TX ND,Dallas,Filed at headquarters,debtors,free fall,"5,400",Company emerged,"emerged 5 years, did not refile",TX Dallas,10/6/89,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,113,478,536 ","$1,180 ",Chapter 11,Haynes Boone
American Home Mortgage Investment Corp.,"H: Finance, Insurance, And Real Estate",67 Holding And Other Investment Offices,Not tort,8/6/07,confirmed,no 363 sale,567,MD,DE,Wilmington,Forum Shop,debtors,free fall,"7,409",company did not emerge,not emerged 5 years,NY Central Islip,2/23/09,a $10 billion and over,"c 1,000 but less than 10,000","$1,286,012,383 ","$23,590 ",Chapter 11,Young Conaway
American Homestar Corp.,D: Manufacturing,"24 Lumber And Wood Products, Except Furniture",Not tort,1/11/01,confirmed,no 363 sale,215,TX,TX SD,Galveston,Filed at headquarters,debtors,free fall,"3,934",Company emerged,"emerged 5 years, did not refile",TX Galveston,8/14/01,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$775,078,990 ",$539 ,Chapter 11,Floyd Isgur
"American Media Operations, Inc.",D: Manufacturing,"27 Printing, Publishing, And Allied Industries",Not tort,11/17/10,confirmed,no 363 sale,33,DE,NY SD,New York,Forum Shop,debtors,prepackaged,"1,389",Company emerged,"emerged 5 years, did not refile",FL West Palm Beach,12/20/10,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$584,241,838 ","$1,120 ",Chapter 11,Akin Gump
American Mortgage Acceptance Company,"H: Finance, Insurance, And Real Estate",67 Holding And Other Investment Offices,Not tort,4/26/10,confirmed,no 363 sale,161,MA,NY SD,New York,Filed at headquarters,debtors,prenegotiated,1,Company emerged,"emerged 5 years, did not refile",NY New York,10/4/10,c $500 million but less than $1billion,e Less than 200,"$71,817,364 ",$796 ,Chapter 11,Reid Riege
American Pad & Paper Company,D: Manufacturing,26 Paper and Allied Products,Not tort,1/10/00,converted,363 sale,711,DE,DE,Wilmington,Forum Shop,creditors,free fall,"3,834",Company emerged,"emerged 5 years, refiled",TX Dallas,12/21/01,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$883,599,407 ",$729 ,Chapter 11,Gibson Dunn
American Plumbing & Mechanical Inc.,C: Construction,17 Construction Special Trade Contractors,Not tort,10/13/03,confirmed,no 363 sale,291,DE,TX WD,San Antonio,Forum Shop,debtors,free fall,"5,500",Company emerged,"emerged 5 years, did not refile",TX Austin,7/30/04,d Less than $500 million,"c 1,000 but less than 10,000","$809,368,748 ",$374 ,Chapter 11,Winstead Sechrest
"American Rice, Inc.",F: Wholesale Trade,51 Wholesale Trade-non-durable Goods,Not tort,8/11/98,confirmed,no 363 sale,329,TX,TX SD,Corpus Christi,Forum Shop,debtors,free fall,"1,500",Company emerged,"emerged 5 years, did not refile",TX Houston,7/6/99,d Less than $500 million,"c 1,000 but less than 10,000","$822,549,474 ",$475 ,Chapter 11,Pachulski Stang
"American Spectrum Realty, Inc.","H: Finance, Insurance, And Real Estate",67 Holding And Other Investment Offices,Fraud,2/13/15,confirmed,no 363 sale,511,MD,CA CD,Santa Ana,Forum Shop,creditors,free fall,165,company did not emerge,not emerged 5 years,TX Houston,7/8/16,d Less than $500 million,e Less than 200,"$47,354,773 ",$442 ,Chapter 11,Winthrop Couchot
"American Tissue, Inc.",D: Manufacturing,26 Paper and Allied Products,Fraud,9/10/01,converted,no 363 sale,555,DE,DE,Wilmington,Forum Shop,debtors,free fall,"2,692",company did not emerge,not emerged 5 years,NY Hauppauge,3/19/03,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$721,087,865 ",$799 ,Chapter 11,Pachulski Stang
AmericanWest Bancorporation,"H: Finance, Insurance, And Real Estate",60 Depository Institutions,Not tort,10/28/10,confirmed,363 sale,"1,037",WA,WA ED,Spokane,Filed at headquarters,debtors,free fall,531,company did not emerge,not emerged 5 years,WA Spokane,8/30/13,b $1 billion but less than $10 billion,"d 200 but less than 1,000","$91,767,509 ","$1,972 ",Chapter 11,Foster Pepper
Americold Corp.,"E: Transportation, Communications, Electric, Gas",42 Motor Freight Transportation And Warehousing,Not tort,5/9/95,confirmed,no 363 sale,41,OR,OR,"Portland, OR",Filed at headquarters,debtors,prepackaged,"1,889",Company emerged,"emerged 5 years, did not refile",OR Portland,6/19/95,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$368,291,753 ",$932 ,Chapter 11,Tonkon Torp
"Ameriserve Food Distribution, Inc.",F: Wholesale Trade,51 Wholesale Trade-non-durable Goods,Not tort,1/31/00,confirmed,no 363 sale,302,DE,DE,Wilmington,Forum Shop,debtors,free fall,"8,000",company did not emerge,not emerged 5 years,TX Dallas,11/28/00,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$11,451,288,827 ","$2,912 ",Chapter 11,Kirkland Ellis
AmeriTruck Distribution Corp.,"E: Transportation, Communications, Electric, Gas",42 Motor Freight Transportation And Warehousing,Not tort,11/9/98,converted,no 363 sale,368,DE,TX ND,Fort Worth,Filed at headquarters,debtors,free fall,"3,400",company did not emerge,not emerged 5 years,TX Fort Worth,11/12/99,d Less than $500 million,"c 1,000 but less than 10,000","$463,059,242 ",$419 ,Chapter 11,Neligan Foley
