Debtor Name,Industry Division,Industry Group,Cause,Date Filed,Disposition,¤363 Sale,Duration,Inc. State,District Filed,City Filed,Forum Shopping,Filing Party,Plan Type,Employees,Business Survival,Refiled,Headquarters City,Date Disposed,Asset Size,Employee Size,Annual Sales,Assets (millions),Chapter at Filing,Debtor's Attorney
"EvergreenBancorp, Inc.","H: Finance, Insurance, And Real Estate",60 Depository Institutions,Not tort,5/28/10,Chapter 7 at filing,Chapter 7 at filing,,WA,WA WD,Seattle,Filed at headquarters,debtors,not applicable,90,company did not emerge,not emerged 5 years,WA Seattle,,c $500 million but less than $1billion,e Less than 200,"$28,040,191 ",$552 ,Chapter 7,Davis Wright
"EXCO Resources, Inc.",B: Mining,13 Oil And Gas Extraction,Not tort,1/15/18,confirmed,no 363 sale,519,TX,TX SD,Houston,Forum Shop,debtors,free fall,168,Company emerged,not emerged 5 years,TX Dallas,6/18/19,c $500 million but less than $1billion,e Less than 200,"$298,072,790 ",$883 ,Chapter 11,Kirkland Ellis
Exide Technologies (2002),D: Manufacturing,36 Electronic And Other Electrical Equipment And Components,Not tort,4/15/02,confirmed,no 363 sale,736,DE,DE,Wilmington,Forum Shop,debtors,free fall,"17,300",Company emerged,"emerged 5 years, did not refile",NJ Trenton,4/20/04,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000","$3,518,209,859 ","$2,776 ",Chapter 11,Kirkland Ellis
Exide Technologies (2013),D: Manufacturing,36 Electronic And Other Electrical Equipment And Components,Not tort,6/10/13,confirmed,no 363 sale,655,DE,DE,Wilmington,Forum Shop,debtors,free fall,"9,628",Company emerged,not emerged 5 years,GA Atlanta,3/27/15,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$3,314,932,784 ","$2,236 ",Chapter 11,Skadden Arps
"Exodus Communications, Inc.",I: Services,73 Business Services,Not tort,9/26/01,confirmed,no 363 sale,252,DE,DE,Wilmington,Forum Shop,debtors,free fall,"4,290",company did not emerge,not emerged 5 years,CA San Jose,6/5/02,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,195,580,043 ","$5,689 ",Chapter 11,Skadden Arps
"Extraction Oil & Gas, Inc.",B: Mining,13 Oil And Gas Extraction,Not tort,6/14/20,confirmed,no 363 sale,192,DE,DE,Wilmington,Forum Shop,debtors,free fall,323,Company emerged,not emerged 5 years,CO Denver,12/23/20,b $1 billion but less than $10 billion,"d 200 but less than 1,000","$916,049,624 ","$2,957 ",Chapter 11,Kirkland Ellis
F & M Distributors Inc.,G: Retail Trade,53 General Merchandise Stores,Not tort,12/5/94,confirmed,no 363 sale,641,MI,MI ED,Detroit,Filed at headquarters,debtors,free fall,"4,370",company did not emerge,not emerged 5 years,MI Detroit,9/6/96,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$1,255,994,492 ",$572 ,Chapter 11,Weil Gotshal
Fairchild Corporation,G: Retail Trade,56 Apparel And Accessory Stores,Pension,3/18/09,confirmed,no 363 sale,274,DE,DE,Wilmington,Forum Shop,debtors,free fall,784,company did not emerge,not emerged 5 years,VA Alexandria,12/17/09,d Less than $500 million,"d 200 but less than 1,000","$434,745,434 ",$437 ,Chapter 11,Curtis Mallet-Prevost
Fairfield Communities Inc.,"H: Finance, Insurance, And Real Estate",65 Real Estate,Not tort,10/3/90,confirmed,no 363 sale,681,DE,AR ED,Little Rock,Filed at headquarters,debtors,free fall,"2,700",Company emerged,"emerged 5 years, did not refile",AR Little Rock,8/14/92,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$296,339,416 ","$1,844 ",Chapter 11,Rose Law Firm
"FairPoint Communications, Inc.","E: Transportation, Communications, Electric, Gas",48 Communications,Not tort,10/26/09,confirmed,no 363 sale,444,DE,NY SD,New York,Forum Shop,debtors,prenegotiated,"4,071",Company emerged,"emerged 5 years, did not refile",NC Charlotte,1/13/11,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,535,638,804 ","$4,017 ",Chapter 11,Paul Hastings
Fairway Group Holdings Corp.,G: Retail Trade,54 Food Stores,Not tort,5/2/16,confirmed,no 363 sale,37,DE,NY SD,New York,Filed at headquarters,debtors,prepackaged,"4,300",Company emerged,not emerged 5 years,NY New York,6/8/16,d Less than $500 million,"c 1,000 but less than 10,000","$864,767,955 ",$389 ,Chapter 11,Weil Gotshal
"Falcon Products, Inc.",D: Manufacturing,25 Furniture And Fixtures,Not tort,1/31/05,confirmed,no 363 sale,259,DE,MO ED,St. Louis,Filed at headquarters,debtors,prenegotiated,"1,980",Company emerged,"emerged 5 years, did not refile",MO St. Louis,10/17/05,d Less than $500 million,"c 1,000 but less than 10,000","$344,202,664 ",$365 ,Chapter 11,Thompson Coburn
"Family Golf Centers, Inc.",I: Services,79 Amusement And Recreation Services,Not tort,5/4/00,confirmed,363 sale,"1,142",DE,NY SD,New York,Forum Shop,debtors,free fall,389,company did not emerge,not emerged 5 years,NY Central Islip,6/20/03,c $500 million but less than $1billion,"d 200 but less than 1,000","$235,214,857 ",$746 ,Chapter 11,Fried Frank
"Farmland Industries, Inc.",F: Wholesale Trade,51 Wholesale Trade-non-durable Goods,Not tort,5/31/02,confirmed,no 363 sale,567,KS,MO WD,"Kansas City, MO",Filed at headquarters,debtors,free fall,"14,500",company did not emerge,not emerged 5 years,MO Kansas City,12/19/03,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000","$17,041,550,565 ","$3,965 ",Chapter 11,Bryan Cave
Federal-Mogul Corporation,D: Manufacturing,37 Transportation Equipment,Asbestos,10/1/01,confirmed,no 363 sale,"2,229",MI,DE,Wilmington,Forum Shop,debtors,free fall,"50,000",Company emerged,"emerged 5 years, did not refile",MI Detroit,11/8/07,a $10 billion and over,"a 30,000 and over","$8,814,193,904 ","$15,032 ",Chapter 11,Sidley Austin
"Federated Department Stores, Inc.",G: Retail Trade,53 General Merchandise Stores,Not tort,1/15/90,confirmed,no 363 sale,725,DE,OH SD,Cincinnati,Filed at headquarters,debtors,free fall,"63,700",Company emerged,"emerged 5 years, did not refile",OH Cincinnati,1/10/92,a $10 billion and over,"a 30,000 and over","$13,382,925,132 ","$16,178 ",Chapter 11,Jones Day
"Ferrellgas Partners, L.P. (Ferrellgas Partners Finance Corp.)",G: Retail Trade,59 Miscellaneous Retail,Not tort,1/11/21,pending,case pending,,DE,DE,Wilmington,Forum Shop,debtors,prepackaged,"3,945",case pending,not emerged 5 years,KS Kansas City,,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,497,826,000 ","$1,668 ",Chapter 11,Squire Patton
FF Holdings Corporation,G: Retail Trade,54 Food Stores,Not tort,1/7/98,confirmed,no 363 sale,44,VA,DE,Wilmington,Forum Shop,debtors,prepackaged,"6,300",Company emerged,"emerged 5 years, did not refile",VA Norfolk,2/20/98,d Less than $500 million,"c 1,000 but less than 10,000","$1,228,225,173 ",$321 ,Chapter 11,Dechert
Fibermark Inc.,D: Manufacturing,26 Paper and Allied Products,Not tort,3/30/04,confirmed,no 363 sale,612,DE,VT,Rutland,Filed at headquarters,debtors,free fall,"1,699",Company emerged,"emerged 5 years, did not refile",VT Rutland,12/2/05,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$552,375,842 ",$556 ,Chapter 11,Skadden Arps
FiberTower Corporation,"E: Transportation, Communications, Electric, Gas",48 Communications,Not tort,7/17/12,confirmed,no 363 sale,559,DE,TX ND,Fort Worth,Forum Shop,debtors,prenegotiated,160,company did not emerge,not emerged 5 years,CA San Francisco,1/27/14,c $500 million but less than $1billion,e Less than 200,"$86,540,435 ",$635 ,Chapter 11,Andrews Kurth
Financial Corp. of Santa Barbara,"H: Finance, Insurance, And Real Estate",67 Holding And Other Investment Offices,Not tort,9/17/90,confirmed,no 363 sale,"1,656",DE,CA CD,Santa Barbara,Filed at headquarters,debtors,free fall,"1,284",company did not emerge,not emerged 5 years,CA Santa Barbara,3/31/95,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$857,520,843 ","$9,158 ",Chapter 11,Michaelson Susi
Fine Air Services Corp.,"E: Transportation, Communications, Electric, Gas",45 Transportation By Air,Not tort,9/27/00,confirmed,no 363 sale,588,DE,FL SD,Miami,Filed at headquarters,debtors,free fall,"1,421",Company emerged,"emerged 5 years, refiled",FL Miami,5/8/02,d Less than $500 million,"c 1,000 but less than 10,000","$180,005,979 ",$454 ,Chapter 11,Greenberg Traurig
