index,Debtor Name,Industry Division,Industry Group,Cause,Date Filed,Disposition,363sale,Duration,Inc. State,District Filed,City Filed,Forum Shopping,Filing Party,Plan Type,Employees,Business Survival,Refiled,Headquarters City,Date Disposed,Asset Size,Employee Size,Annual Sales,Assets (millions),Chapter at Filing,Debtor's Attorney
229,Cityscape Financial Corp.,"H: Finance, Insurance, And Real Estate",61 Non-depository Credit Institutions,Not tort,1998-10-06,confirmed,no 363 sale,247.0,DE,NY SD,White Plains,Filed at headquarters,debtors,prenegotiated,837.0,Company emerged,"emerged 5 years, did not refile",NY White Plains,1999-06-10,c $500 million but less than $1billion,"d 200 but less than 1,000",54051532.0,633.0,Chapter 11,Latham Watkins
230,"Claires Stores, Inc.",G: Retail Trade,56 Apparel And Accessory Stores,Not tort,2018-03-19,confirmed,no 363 sale,186.0,FL,DE,Wilmington,Forum Shop,debtors,prenegotiated,17300.0,Company emerged,not emerged 5 years,IL Chicago,2018-09-21,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000",1396141225.0,2088.0,Chapter 11,Weil Gotshal
231,Clarent Corp.,I: Services,73 Business Services,Not tort,2002-12-13,confirmed,363 sale,475.0,DE,CA ND,San Francisco,Filed at headquarters,debtors,free fall,848.0,company did not emerge,not emerged 5 years,CA San Francisco,2004-04-01,c $500 million but less than $1billion,"d 200 but less than 1,000",155506866.0,798.0,Chapter 11,Pachulski Stang
232,Clark Material Handling Company,D: Manufacturing,35 Industrial and Commercial Machinery and Computer Equipment,Not tort,2000-04-17,confirmed,363 sale,1283.0,DE,DE,Wilmington,Forum Shop,debtors,free fall,1776.0,Company emerged,"emerged 5 years, did not refile",KY Lexington,2003-10-22,c $500 million but less than $1billion,"c 1,000 but less than 10,000",819588360.0,605.0,Chapter 11,Morgan Lewis
233,"Classic Communications, Inc.","E: Transportation, Communications, Electric, Gas",48 Communications,Not tort,2001-11-13,confirmed,no 363 sale,409.0,DE,DE,Wilmington,Forum Shop,debtors,free fall,970.0,Company emerged,"emerged 5 years, did not refile",TX Tyler,2002-12-27,b $1 billion but less than $10 billion,"d 200 but less than 1,000",267668603.0,1092.0,Chapter 11,Willkie Farr
234,Cloud Peak Energy Inc.,B: Mining,12 Coal Mining,Not tort,2019-05-10,confirmed,363 sale,209.0,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,1300.0,not classified,not classified,WY Casper,2019-12-05,c $500 million but less than $1billion,"c 1,000 but less than 10,000",846648314.0,945.0,Chapter 11,Vinson Elkins
235,"Cobalt International Energy, Inc.",B: Mining,13 Oil And Gas Extraction,Not tort,2017-12-14,confirmed,no 363 sale,112.0,DE,TX SD,Houston,Filed at headquarters,debtors,free fall,111.0,company did not emerge,not emerged 5 years,TX Houston,2018-04-05,b $1 billion but less than $10 billion,e Less than 200,17755941.0,2357.0,Chapter 11,Kirkland Ellis
236,"Coho Energy, Inc. (1999)",B: Mining,13 Oil And Gas Extraction,Not tort,1999-08-23,confirmed,no 363 sale,210.0,TX,TX ND,Dallas,Filed at headquarters,debtors,free fall,144.0,Company emerged,"emerged 5 years, refiled",TX Dallas,2000-03-20,c $500 million but less than $1billion,e Less than 200,107180920.0,546.0,Chapter 11,Fulbright Jaworski
237,"Coho Energy, Inc. (2002)",B: Mining,13 Oil And Gas Extraction,Not tort,2002-02-06,confirmed,363 sale,362.0,TX,TX ND,Dallas,Filed at headquarters,debtors,free fall,72.0,company did not emerge,not emerged 5 years,TX Dallas,2003-02-03,c $500 million but less than $1billion,e Less than 200,112657202.0,553.0,Chapter 11,Fulbright Jaworski
238,Coldwater Creek Inc.,G: Retail Trade,56 Apparel And Accessory Stores,Not tort,2014-04-11,confirmed,363 sale,159.0,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,6600.0,company did not emerge,not emerged 5 years,ID Coeur d'Alene,2014-09-17,d Less than $500 million,"c 1,000 but less than 10,000",815763362.0,380.0,Chapter 11,Shearman Sterling
239,Coleco Industries Inc.,D: Manufacturing,39 Miscellaneous Manufacturing Industries,Not tort,1988-07-11,confirmed,363 sale,569.0,CT,NY SD,New York,Forum Shop,debtors,free fall,2740.0,Company emerged,"emerged 5 years, did not refile",CT Hartford,1990-01-31,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000",1108900464.0,1177.0,Chapter 11,Stroock Stroock
240,Collins & Aikman Corporation,D: Manufacturing,37 Transportation Equipment,Not tort,2005-05-17,confirmed,363 sale,792.0,DE,MI ED,Detroit,Filed at headquarters,debtors,free fall,23900.0,company did not emerge,not emerged 5 years,MI Detroit,2007-07-18,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000",5337707170.0,4276.0,Chapter 11,Kirkland Ellis
241,"Colonial Bancgroup, Inc.","H: Finance, Insurance, And Real Estate",60 Depository Institutions,Not tort,2009-08-25,confirmed,no 363 sale,646.0,DE,AL MD,Montgomery,Filed at headquarters,debtors,free fall,4808.0,company did not emerge,not emerged 5 years,AL Montgomery,2011-06-02,a $10 billion and over,"c 1,000 but less than 10,000",1917931953.0,31146.0,Chapter 11,Parker Hudson
242,"Color Tile, Inc.",G: Retail Trade,"52 Building Materials, Hardware, Garden Supply, And Mobile Home Dealers",Not tort,1996-01-24,confirmed,no 363 sale,593.0,DE,DE,Wilmington,Forum Shop,debtors,free fall,3900.0,company did not emerge,not emerged 5 years,TX Fort Worth,1997-09-08,c $500 million but less than $1billion,"c 1,000 but less than 10,000",1136199734.0,928.0,Chapter 11,Holleb Coff
243,"Colorado-Ute Electric Association, Inc.","E: Transportation, Communications, Electric, Gas","49 Electric, Gas, And Sanitary Services",Not tort,1990-03-30,confirmed,no 363 sale,691.0,CO,CO,Denver,Filed at headquarters,debtors,free fall,723.0,company did not emerge,not emerged 5 years,CO Denver,1992-02-19,b $1 billion but less than $10 billion,"d 200 but less than 1,000",457752191.0,1653.0,Chapter 11,Stinson Mag
244,Columbia Gas System Inc.,"E: Transportation, Communications, Electric, Gas","49 Electric, Gas, And Sanitary Services",Not tort,1991-07-31,confirmed,no 363 sale,1568.0,DE,DE,Wilmington,Filed at headquarters,debtors,free fall,10829.0,Company emerged,"emerged 5 years, did not refile",DE Wilmington,1995-11-15,a $10 billion and over,"b 10,000 but less than 30,000",4509336598.0,11850.0,Chapter 11,Stroock Stroock
