index,Debtor Name,Industry Division,Industry Group,Cause,Date Filed,Disposition,363sale,Duration,Inc. State,District Filed,City Filed,Forum Shopping,Filing Party,Plan Type,Employees,Business Survival,Refiled,Headquarters City,Date Disposed,Asset Size,Employee Size,Annual Sales,Assets (millions),Chapter at Filing,Debtor's Attorney
0,1st Centennial Bancorp,"H: Finance, Insurance, And Real Estate",60 Depository Institutions,Not tort,2009-03-25,Chapter 7 at filing,Chapter 7 at filing,,CA,CA CD,Riverside,Filed at headquarters,debtors,not applicable,148.0,company did not emerge,not emerged 5 years,CA Riverside,,c $500 million but less than $1billion,e Less than 200,65378117.0,845.0,Chapter 7,Reid Hellyer
1,"21st Century Oncology Holdings, Inc.",I: Services,80 Health Services,Not tort,2017-05-25,confirmed,no 363 sale,231.0,DE,NY SD,White Plains,Forum Shop,debtors,prenegotiated,3930.0,Company emerged,not emerged 5 years,FL Fort Myers,2018-01-11,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000",1148641882.0,1201.0,Chapter 11,Kirkland Ellis
2,"A. H. Robins Company, Inc.",D: Manufacturing,28 Chemicals and Allied Products,Other products,1985-08-21,confirmed,no 363 sale,1069.0,VA,VA ED,Richmond,Filed at headquarters,debtors,free fall,6000.0,Company emerged,"emerged 5 years, did not refile",VA Richmond,1988-07-25,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000",1523992373.0,1563.0,Chapter 11,Murphy Sheneman
3,A. M. Castle & Co.,F: Wholesale Trade,50 Wholesale Trade-durable Goods,Not tort,2017-06-18,confirmed,no 363 sale,45.0,MD,DE,Wilmington,Forum Shop,debtors,prepackaged,908.0,Company emerged,not emerged 5 years,IL Chicago,2017-08-02,d Less than $500 million,"d 200 but less than 1,000",566927448.0,350.0,Chapter 11,Pachulski Stang
4,"A123 Systems, Inc.",D: Manufacturing,36 Electronic And Other Electrical Equipment And Components,Not tort,2012-10-16,confirmed,363 sale,216.0,DE,DE,Wilmington,Forum Shop,debtors,free fall,1983.0,Company emerged,"emerged 5 years, did not refile",MA Boston,2013-05-20,c $500 million but less than $1billion,"c 1,000 but less than 10,000",179207130.0,705.0,Chapter 11,Latham Watkins
5,"AAC Holdings, Inc.",I: Services,80 Health Services,Not tort,2020-06-20,confirmed,no 363 sale,122.0,NV,DE,Wilmington,Forum Shop,debtors,prenegotiated,1900.0,Company emerged,not emerged 5 years,TN Nashville,2020-10-20,d Less than $500 million,"c 1,000 but less than 10,000",298834244.0,457.0,Chapter 11,Greenberg Traurig
6,aaiPharma Inc.,I: Services,"87 Engineering, Accounting, Research, Management, and Related Services",Fraud?,2005-05-10,confirmed,no 363 sale,255.0,DE,DE,Wilmington,Forum Shop,debtors,free fall,924.0,Company emerged,"emerged 5 years, did not refile",NC Wilmington,2006-01-20,d Less than $500 million,"d 200 but less than 1,000",288517831.0,454.0,Chapter 11,Fried Frank
7,"ABC-NACO, Inc.",D: Manufacturing,"34 Fabricated Metal Products, Except Machinery and Transportation Equipment",Not tort,2001-10-18,dismissed,363 sale,917.0,DE,IL ND,Chicago,Filed at headquarters,debtors,free fall,4418.0,Company emerged,"emerged 5 years, did not refile",IL Chicago,2004-04-22,c $500 million but less than $1billion,"c 1,000 but less than 10,000",706812396.0,695.0,Chapter 11,D'Ancona Pflaum
8,AbitibiBowater Inc.,D: Manufacturing,26 Paper and Allied Products,Not tort,2009-04-16,confirmed,no 363 sale,586.0,DE,DE,Wilmington,Forum Shop,debtors,free fall,15900.0,Company emerged,"emerged 5 years, did not refile",Outside United States,2010-11-23,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000",8272370797.0,9862.0,Chapter 11,Paul Weiss
9,Acceptance Insurance Companies Inc.,"H: Finance, Insurance, And Real Estate",63 Insurance Carriers,Not tort,2005-01-07,converted,no 363 sale,2069.0,DE,NE,Omaha,Forum Shop,debtors,free fall,23.0,company did not emerge,not emerged 5 years,IA Council Bluffs,2010-09-07,d Less than $500 million,e Less than 200,5463534.0,381.0,Chapter 11,Kutak Rock
10,Accuride Corporation,D: Manufacturing,37 Transportation Equipment,Not tort,2009-10-08,confirmed,no 363 sale,133.0,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,2980.0,Company emerged,"emerged 5 years, did not refile",IN Evansville,2010-02-18,c $500 million but less than $1billion,"c 1,000 but less than 10,000",1122145365.0,974.0,Chapter 11,Latham Watkins
11,Aceto Corporation,F: Wholesale Trade,51 Wholesale Trade-non-durable Goods,Not tort,2019-02-19,confirmed,363 sale,211.0,NY,NJ,Newark,Forum Shop,debtors,free fall,315.0,company did not emerge,not emerged 5 years,NY Central Islip,2019-09-18,c $500 million but less than $1billion,"d 200 but less than 1,000",733022614.0,518.0,Chapter 11,Lowenstein Sandler
12,"Acme Metals, Incorporated",D: Manufacturing,33 Primary Metal Industries,Not tort,1998-09-28,confirmed,no 363 sale,1495.0,DE,DE,Wilmington,Forum Shop,debtors,free fall,2471.0,company did not emerge,not emerged 5 years,IL Chicago,2002-11-01,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000",777011774.0,1320.0,Chapter 11,Hughes Hubbard
13,"ACT Manufacturing, Inc.",D: Manufacturing,36 Electronic And Other Electrical Equipment And Components,Not tort,2001-12-21,confirmed,363 sale,600.0,MA,MA,Worcester,Forum Shop,debtors,free fall,8800.0,company did not emerge,not emerged 5 years,MA Boston,2003-08-13,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000",2020405571.0,1574.0,Chapter 11,Mintz Levin
14,Acterna Corp.,D: Manufacturing,"38 Measuring, Analyzing and Controlling Instruments; Photographic, Medical",Not tort,2003-05-06,confirmed,no 363 sale,142.0,DE,NY SD,New York,Forum Shop,debtors,prenegotiated,2840.0,Company emerged,"emerged 5 years, did not refile",MD Greenbelt,2003-09-25,c $500 million but less than $1billion,"c 1,000 but less than 10,000",965739648.0,577.0,Chapter 11,Weil Gotshal
15,"Adelphia Business Solutions, Inc.","E: Transportation, Communications, Electric, Gas",48 Communications,Fraud,2002-03-27,confirmed,no 363 sale,632.0,DE,NY SD,New York,Forum Shop,debtors,free fall,2774.0,Company emerged,"emerged 5 years, did not refile",PA Williamsport,2003-12-19,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000",512789978.0,2753.0,Chapter 11,Weil Gotshal
16,Adelphia Communications Corp.,"E: Transportation, Communications, Electric, Gas",48 Communications,Fraud,2002-06-25,confirmed,363 sale,1655.0,DE,NY SD,New York,Forum Shop,debtors,free fall,15735.0,company did not emerge,not emerged 5 years,PA Williamsport,2007-01-05,a $10 billion and over,"b 10,000 but less than 30,000",4211889194.0,31129.0,Chapter 11,Willkie Farr
17,Adeptus Health Inc.,I: Services,80 Health Services,Not tort,2017-04-19,confirmed,no 363 sale,163.0,DE,TX ND,Dallas,Forum Shop,debtors,free fall,3202.0,Company emerged,not emerged 5 years,TX Plano,2017-09-29,c $500 million but less than $1billion,"c 1,000 but less than 10,000",448048004.0,560.0,Chapter 11,Norton Rose
18,Advanced GlassFiber Yarns LLC,D: Manufacturing,"32 Stone, Clay, Glass, And Concrete Products",Not tort,2002-12-10,confirmed,no 363 sale,454.0,DE,DE,Wilmington,Forum Shop,debtors,free fall,1492.0,Company emerged,"emerged 5 years, did not refile",SC Columbia,2004-03-08,c $500 million but less than $1billion,"c 1,000 but less than 10,000",297049791.0,594.0,Chapter 11,Proskauer Rose
19,Advanced Radio Telecom Corp.,"E: Transportation, Communications, Electric, Gas",48 Communications,Not tort,2001-04-20,confirmed,no 363 sale,194.0,DE,DE,Wilmington,Forum Shop,debtors,free fall,105.0,Company emerged,"emerged 5 years, did not refile",WA Seattle,2001-10-31,c $500 million but less than $1billion,e Less than 200,1827294.0,671.0,Chapter 11,Pachulski Stang
20,Advanta Corp.,"H: Finance, Insurance, And Real Estate",61 Non-depository Credit Institutions,Not tort,2009-11-08,confirmed,no 363 sale,460.0,DE,DE,Wilmington,Forum Shop,debtors,free fall,841.0,company did not emerge,not emerged 5 years,PA Reading,2011-02-11,b $1 billion but less than $10 billion,"d 200 but less than 1,000",588836295.0,4319.0,Chapter 11,Weil Gotshal
21,"Aeropostale, Inc.",G: Retail Trade,56 Apparel And Accessory Stores,Not tort,2016-05-04,confirmed,363 sale,695.0,DE,NY SD,New York,Filed at headquarters,debtors,free fall,20330.0,company did not emerge,not emerged 5 years,NY New York,2018-03-30,d Less than $500 million,"b 10,000 but less than 30,000",1633856341.0,384.0,Chapter 11,Weil Gotshal
22,"AgriBioTech, Inc.",A: Agricultural Production Crops,01 Crops,Not tort,2000-01-25,confirmed,363 sale,440.0,NV,NV,Las Vegas,Filed at headquarters,debtors,free fall,826.0,company did not emerge,not emerged 5 years,NV Las Vegas,2001-04-09,c $500 million but less than $1billion,"d 200 but less than 1,000",571643215.0,528.0,Chapter 11,Pachulski Stang
23,Agway Inc.,D: Manufacturing,20 Food and Kindred Products,Not tort,2002-10-01,confirmed,363 sale,575.0,DE,NY ND,Utica,Filed at headquarters,debtors,free fall,4200.0,company did not emerge,not emerged 5 years,NY Utica,2004-04-28,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000",1292936617.0,2262.0,Chapter 11,Weil Gotshal
24,"Ahern Rentals, Inc.",I: Services,73 Business Services,Not tort,2011-12-22,confirmed,no 363 sale,532.0,NV,NV,Reno,Forum Shop,debtors,free fall,1580.0,Company emerged,"emerged 5 years, did not refile",NV Las Vegas,2013-06-06,c $500 million but less than $1billion,"c 1,000 but less than 10,000",328167554.0,725.0,Chapter 11,Gordon Silver
25,Air Florida System Inc.,"E: Transportation, Communications, Electric, Gas",45 Transportation By Air,Not tort,1984-07-03,confirmed,363 sale,765.0,DE,FL SD,Miami,Filed at headquarters,debtors,free fall,1400.0,Company emerged,"emerged 5 years, part refiled",FL Miami,1986-08-07,c $500 million but less than $1billion,"c 1,000 but less than 10,000",545784359.0,573.0,Chapter 11,Carlton Fields
26,"Akorn, Inc.",D: Manufacturing,28 Chemicals and Allied Products,Not tort,2020-05-20,confirmed,363 sale,107.0,LA,DE,Wilmington,Forum Shop,debtors,prenegotiated,2227.0,Company emerged,not emerged 5 years,IL Chicago,2020-09-04,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000",693288499.0,1309.0,Chapter 11,Kirkland Ellis
27,"Al Copeland Enterprises, Inc.",G: Retail Trade,58 Eating and Drinking Places,Not tort,1991-04-04,confirmed,no 363 sale,567.0,TX,TX WD,San Antonio,Forum Shop,creditors,free fall,14200.0,Company emerged,"emerged 5 years, did not refile",LA New Orleans,1992-10-22,c $500 million but less than $1billion,"b 10,000 but less than 30,000",886382233.0,824.0,Chapter 11,Proskauer Rose
28,"Aleris International, Inc.",D: Manufacturing,33 Primary Metal Industries,Not tort,2009-02-12,confirmed,no 363 sale,455.0,DE,DE,Wilmington,Forum Shop,debtors,free fall,8800.0,Company emerged,"emerged 5 years, did not refile",OH Cleveland,2010-05-13,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000",7352559909.0,6285.0,Chapter 11,Weil Gotshal
29,Alexanders Inc.,G: Retail Trade,53 General Merchandise Stores,Not tort,1992-05-15,confirmed,no 363 sale,494.0,DE,NY SD,New York,Filed at headquarters,debtors,free fall,7200.0,Company emerged,"emerged 5 years, did not refile",NY New York,1993-09-21,d Less than $500 million,"c 1,000 but less than 10,000",802280430.0,351.0,Chapter 11,Shearman Sterling
30,"Allegheny International, Inc.",D: Manufacturing,36 Electronic And Other Electrical Equipment And Components,Not tort,1988-02-20,confirmed,no 363 sale,873.0,PA,PA WD,Pittsburgh,Filed at headquarters,debtors,free fall,12800.0,Company emerged,"emerged 5 years, did not refile",PA Pittsburgh,1990-07-12,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000",1948494406.0,1910.0,Chapter 11,Buchanan Ingersoll
31,Allegiance Telecom Inc.,"E: Transportation, Communications, Electric, Gas",48 Communications,Not tort,2003-05-14,confirmed,363 sale,393.0,DE,NY SD,New York,Forum Shop,debtors,free fall,3814.0,company did not emerge,not emerged 5 years,TX Dallas,2004-06-10,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000",1094391092.0,2046.0,Chapter 11,Kirkland Ellis
32,Alliance Entertainment Corp.,F: Wholesale Trade,50 Wholesale Trade-durable Goods,Not tort,1997-07-14,confirmed,no 363 sale,381.0,DE,NY SD,New York,Filed at headquarters,debtors,free fall,1850.0,Company emerged,"emerged 5 years, did not refile",NY New York,1998-07-30,c $500 million but less than $1billion,"c 1,000 but less than 10,000",1121579946.0,995.0,Chapter 11,Willkie Farr
33,"Allied Holdings, Inc.","E: Transportation, Communications, Electric, Gas",42 Motor Freight Transportation And Warehousing,Not tort,2005-07-31,confirmed,no 363 sale,656.0,GA,GA ND,Newnan,Forum Shop,debtors,free fall,6400.0,Company emerged,"emerged 5 years, did not refile",GA Atlanta,2007-05-18,c $500 million but less than $1billion,"c 1,000 but less than 10,000",1193345501.0,561.0,Chapter 11,Troutman Sanders
34,Allied Nevada Gold Corp.,B: Mining,10 Metal Mining,Not tort,2015-03-10,confirmed,no 363 sale,212.0,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,459.0,Company emerged,not emerged 5 years,NV Reno,2015-10-08,b $1 billion but less than $10 billion,"d 200 but less than 1,000",342444452.0,1038.0,Chapter 11,Akin Gump
35,Allied Products Corp.,D: Manufacturing,35 Industrial and Commercial Machinery and Computer Equipment,Not tort,2000-10-02,confirmed,no 363 sale,1046.0,DE,IL ND,Chicago,Filed at headquarters,debtors,free fall,800.0,company did not emerge,not emerged 5 years,IL Chicago,2003-08-14,d Less than $500 million,"d 200 but less than 1,000",215227870.0,384.0,Chapter 11,Althheimer Gray
36,Allis-Chalmers Corp.,D: Manufacturing,35 Industrial and Commercial Machinery and Computer Equipment,Not tort,1987-06-29,confirmed,363 sale,490.0,DE,NY SD,New York,Forum Shop,debtors,free fall,10956.0,Company emerged,"emerged 5 years, did not refile",WI Milwaukee,1988-10-31,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000",1171100284.0,1300.0,Chapter 11,Davis Polk
37,"Alpha Natural Resources, Inc.",B: Mining,12 Coal Mining,Not tort,2015-08-03,confirmed,no 363 sale,344.0,DE,VA ED,Richmond,Forum Shop,debtors,free fall,8900.0,Company emerged,not emerged 5 years,VA Roanoke,2016-07-12,a $10 billion and over,"c 1,000 but less than 10,000",4685679329.0,11734.0,Chapter 11,Jones Day
38,"Alta Mesa Resources, Inc. (Alta Mesa Holdings, LP)",B: Mining,13 Oil And Gas Extraction,Not tort,2019-09-11,confirmed,363 sale,259.0,DE,TX SD,Houston,Filed at headquarters,debtors,free fall,154.0,company did not emerge,not emerged 5 years,TX Houston,2020-05-27,b $1 billion but less than $10 billion,e Less than 200,474748075.0,1377.0,Chapter 11,Latham Watkins
39,Alterra HealthCare Corp,I: Services,83 Social Services,Not tort,2003-01-22,confirmed,no 363 sale,308.0,DE,DE,Wilmington,Forum Shop,debtors,free fall,11800.0,Company emerged,"emerged 5 years, did not refile",WI Milwaukee,2003-11-26,c $500 million but less than $1billion,"b 10,000 but less than 30,000",597377121.0,962.0,Chapter 11,Rogers Hardin
40,"AM International, Inc. (1982)",D: Manufacturing,35 Industrial and Commercial Machinery and Computer Equipment,Not tort,1982-04-14,confirmed,no 363 sale,881.0,DE,IL ND,Chicago,Filed at headquarters,debtors,free fall,17250.0,Company emerged,"emerged 5 years, did not refile",IL Chicago,1984-09-11,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000",1791512176.0,1499.0,Chapter 11,Wilmer Cutler
41,"AM International, Inc. (1993)",F: Wholesale Trade,50 Wholesale Trade-durable Goods,Not tort,1993-05-17,confirmed,no 363 sale,135.0,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,5022.0,Company emerged,"emerged 5 years, did not refile",IL Chicago,1993-09-29,c $500 million but less than $1billion,"c 1,000 but less than 10,000",1117664671.0,797.0,Chapter 11,Young Conaway
42,Amarex Inc.,B: Mining,13 Oil And Gas Extraction,Not tort,1982-12-02,confirmed,no 363 sale,1029.0,DE,OK WD,Oklahoma City,Filed at headquarters,creditors,free fall,272.0,company did not emerge,not emerged 5 years,OK Oklahoma City,1985-09-26,b $1 billion but less than $10 billion,"d 200 but less than 1,000",141192387.0,1062.0,Chapter 11,Rochelle King
43,"Ambac Financial Group, Inc.","H: Finance, Insurance, And Real Estate",63 Insurance Carriers,Not tort,2010-11-08,confirmed,no 363 sale,492.0,DE,NY SD,New York,Filed at headquarters,debtors,prenegotiated,293.0,Company emerged,"emerged 5 years, did not refile",NY New York,2012-03-14,a $10 billion and over,"d 200 but less than 1,000",4656087480.0,22483.0,Chapter 11,Dewey LeBoeuf
44,Amcast Industrial Corporation (2004),D: Manufacturing,"34 Fabricated Metal Products, Except Machinery and Transportation Equipment",Not tort,2004-11-30,confirmed,no 363 sale,241.0,OH,OH SD,Dayton,Filed at headquarters,debtors,prenegotiated,2315.0,Company emerged,"emerged 5 years, refiled",OH Dayton,2005-07-29,d Less than $500 million,"c 1,000 but less than 10,000",578115906.0,314.0,Chapter 11,Thompson Hine
45,Amcast Industrial Corporation (2005),D: Manufacturing,"34 Fabricated Metal Products, Except Machinery and Transportation Equipment",Not tort,2005-12-01,confirmed,363 sale,495.0,OH,IN SD,Indianapolis,Forum Shop,debtors,free fall,2315.0,company did not emerge,not emerged 5 years,IN Fort Wayne,2007-04-10,d Less than $500 million,"c 1,000 but less than 10,000",561077937.0,304.0,Chapter 11,Dann Pecar
46,"AMCORE Financial, Inc.","H: Finance, Insurance, And Real Estate",60 Depository Institutions,Not tort,2010-08-19,confirmed,no 363 sale,118.0,NV,IL ND,Chicago,Filed at headquarters,debtors,free fall,962.0,company did not emerge,not emerged 5 years,IL Chicago,2010-12-15,b $1 billion but less than $10 billion,"d 200 but less than 1,000",328284195.0,4507.0,Chapter 11,Skadden Arps
47,Amdura Corp.,F: Wholesale Trade,50 Wholesale Trade-durable Goods,Not tort,1990-04-02,confirmed,no 363 sale,535.0,MN,CO,Denver,Filed at headquarters,debtors,free fall,3664.0,Company emerged,"emerged 5 years, did not refile",CO Denver,1991-09-19,c $500 million but less than $1billion,"c 1,000 but less than 10,000",316681016.0,611.0,Chapter 11,Winston Strawn
48,Amerco,I: Services,"75 Automotive Repair, Services, and Parking",Not tort,2003-06-20,confirmed,no 363 sale,245.0,NV,NV,Reno,Filed at headquarters,debtors,free fall,16145.0,Company emerged,"emerged 5 years, did not refile",NV Reno,2004-02-20,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000",3023578505.0,5396.0,Chapter 11,Squire Sanders
49,America West Airlines Inc.,"E: Transportation, Communications, Electric, Gas",45 Transportation By Air,Not tort,1991-06-27,confirmed,no 363 sale,1140.0,DE,AZ,Phoenix,Filed at headquarters,debtors,free fall,12933.0,Company emerged,"emerged 5 years, did not refile",AZ Phoenix,1994-08-10,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000",2520093611.0,2232.0,Chapter 11,Faegre
50,"American Apparel, Inc. (2015)","H: Finance, Insurance, And Real Estate",67 Holding And Other Investment Offices,Not tort,2015-10-05,confirmed,no 363 sale,114.0,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,10000.0,Company emerged,not emerged 5 years,CA Los Angeles,2016-01-27,d Less than $500 million,"b 10,000 but less than 30,000",666841608.0,322.0,Chapter 11,Jones Day
51,"American Apparel, Inc. (2016)","H: Finance, Insurance, And Real Estate",67 Holding And Other Investment Offices,Not tort,2016-11-14,confirmed,363 sale,744.0,DE,DE,Wilmington,Forum Shop,debtors,free fall,10000.0,company did not emerge,not emerged 5 years,CA Los Angeles,2018-11-28,d Less than $500 million,"b 10,000 but less than 30,000",657129907.0,318.0,Chapter 11,Jones Day
52,American Banknote Corporation,D: Manufacturing,"27 Printing, Publishing, And Allied Industries",Fraud,1999-12-08,confirmed,no 363 sale,988.0,DE,NY SD,New York,Filed at headquarters,debtors,prenegotiated,3390.0,Company emerged,"emerged 5 years, refiled",NY New York,2002-08-22,c $500 million but less than $1billion,"c 1,000 but less than 10,000",520019394.0,780.0,Chapter 11,Skadden Arps
53,"American Business Financial Services, Inc.","H: Finance, Insurance, And Real Estate",61 Non-depository Credit Institutions,Not tort,2005-01-21,converted,no 363 sale,116.0,DE,DE,Wilmington,Forum Shop,debtors,free fall,969.0,company did not emerge,not emerged 5 years,PA Philadelphia,2005-05-17,b $1 billion but less than $10 billion,"d 200 but less than 1,000",132589052.0,1424.0,Chapter 11,Blank Rome
54,American Carriers Inc.,"E: Transportation, Communications, Electric, Gas",42 Motor Freight Transportation And Warehousing,Not tort,1988-08-16,confirmed,no 363 sale,1028.0,DE,KS,Topeka,Forum Shop,debtors and creditors,free fall,9700.0,Company emerged,"emerged 5 years, did not refile",KS Kansas City,1991-06-10,d Less than $500 million,"c 1,000 but less than 10,000",1034118991.0,458.0,Chapter 11,Winston Strawn
55,American Classic Voyages Co.,"E: Transportation, Communications, Electric, Gas",44 Water Transportation,Not tort,2001-10-19,confirmed,no 363 sale,475.0,DE,DE,Wilmington,Forum Shop,debtors,free fall,1857.0,company did not emerge,not emerged 5 years,IL Chicago,2003-02-06,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000",323943467.0,1103.0,Chapter 11,Latham Watkins
56,American Commercial Lines LLC,"E: Transportation, Communications, Electric, Gas",44 Water Transportation,Not tort,2003-01-31,confirmed,no 363 sale,699.0,DE,IN SD,"New Albany, IN",Filed at headquarters,debtors,free fall,3528.0,Company emerged,"emerged 5 years, did not refile",IN New Albany,2004-12-30,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000",1021901001.0,1166.0,Chapter 11,Baker Daniels
57,American Continental Corporation,"H: Finance, Insurance, And Real Estate",67 Holding And Other Investment Offices,Not tort,1989-04-13,confirmed,no 363 sale,596.0,OH,AZ,Phoenix,Filed at headquarters,debtors,free fall,1790.0,company did not emerge,not emerged 5 years,AZ Phoenix,1990-11-30,a $10 billion and over,"c 1,000 but less than 10,000",1519858384.0,10781.0,Chapter 11,Lewis Roca
58,American Eco Corp.,I: Services,76 Miscellaneous Repair Services,Not tort,2000-08-04,converted,363 sale,691.0,Canada,DE,Wilmington,Forum Shop,debtors,free fall,1826.0,company did not emerge,not emerged 5 years,TX Houston,2002-06-26,d Less than $500 million,"c 1,000 but less than 10,000",389018220.0,357.0,Chapter 11,Lowenstein Sandler
59,"American Healthcare Management, Inc.",I: Services,80 Health Services,Not tort,1987-08-07,confirmed,no 363 sale,791.0,DE,TX ND,Dallas,Filed at headquarters,debtors,free fall,5400.0,Company emerged,"emerged 5 years, did not refile",TX Dallas,1989-10-06,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000",1113478536.0,1180.0,Chapter 11,Haynes Boone
60,American Home Mortgage Investment Corp.,"H: Finance, Insurance, And Real Estate",67 Holding And Other Investment Offices,Not tort,2007-08-06,confirmed,no 363 sale,567.0,MD,DE,Wilmington,Forum Shop,debtors,free fall,7409.0,company did not emerge,not emerged 5 years,NY Central Islip,2009-02-23,a $10 billion and over,"c 1,000 but less than 10,000",1286012383.0,23590.0,Chapter 11,Young Conaway
61,American Homestar Corp.,D: Manufacturing,"24 Lumber And Wood Products, Except Furniture",Not tort,2001-01-11,confirmed,no 363 sale,215.0,TX,TX SD,Galveston,Filed at headquarters,debtors,free fall,3934.0,Company emerged,"emerged 5 years, did not refile",TX Galveston,2001-08-14,c $500 million but less than $1billion,"c 1,000 but less than 10,000",775078990.0,539.0,Chapter 11,Floyd Isgur
62,"American Media Operations, Inc.",D: Manufacturing,"27 Printing, Publishing, And Allied Industries",Not tort,2010-11-17,confirmed,no 363 sale,33.0,DE,NY SD,New York,Forum Shop,debtors,prepackaged,1389.0,Company emerged,"emerged 5 years, did not refile",FL West Palm Beach,2010-12-20,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000",584241838.0,1120.0,Chapter 11,Akin Gump
63,American Mortgage Acceptance Company,"H: Finance, Insurance, And Real Estate",67 Holding And Other Investment Offices,Not tort,2010-04-26,confirmed,no 363 sale,161.0,MA,NY SD,New York,Filed at headquarters,debtors,prenegotiated,1.0,Company emerged,"emerged 5 years, did not refile",NY New York,2010-10-04,c $500 million but less than $1billion,e Less than 200,71817364.0,796.0,Chapter 11,Reid Riege
64,American Pad & Paper Company,D: Manufacturing,26 Paper and Allied Products,Not tort,2000-01-10,converted,363 sale,711.0,DE,DE,Wilmington,Forum Shop,creditors,free fall,3834.0,Company emerged,"emerged 5 years, refiled",TX Dallas,2001-12-21,c $500 million but less than $1billion,"c 1,000 but less than 10,000",883599407.0,729.0,Chapter 11,Gibson Dunn
65,American Plumbing & Mechanical Inc.,C: Construction,17 Construction Special Trade Contractors,Not tort,2003-10-13,confirmed,no 363 sale,291.0,DE,TX WD,San Antonio,Forum Shop,debtors,free fall,5500.0,Company emerged,"emerged 5 years, did not refile",TX Austin,2004-07-30,d Less than $500 million,"c 1,000 but less than 10,000",809368748.0,374.0,Chapter 11,Winstead Sechrest
66,"American Rice, Inc.",F: Wholesale Trade,51 Wholesale Trade-non-durable Goods,Not tort,1998-08-11,confirmed,no 363 sale,329.0,TX,TX SD,Corpus Christi,Forum Shop,debtors,free fall,1500.0,Company emerged,"emerged 5 years, did not refile",TX Houston,1999-07-06,d Less than $500 million,"c 1,000 but less than 10,000",822549474.0,475.0,Chapter 11,Pachulski Stang
67,"American Spectrum Realty, Inc.","H: Finance, Insurance, And Real Estate",67 Holding And Other Investment Offices,Fraud,2015-02-13,confirmed,no 363 sale,511.0,MD,CA CD,Santa Ana,Forum Shop,creditors,free fall,165.0,company did not emerge,not emerged 5 years,TX Houston,2016-07-08,d Less than $500 million,e Less than 200,47354773.0,442.0,Chapter 11,Winthrop Couchot
68,"American Tissue, Inc.",D: Manufacturing,26 Paper and Allied Products,Fraud,2001-09-10,converted,no 363 sale,555.0,DE,DE,Wilmington,Forum Shop,debtors,free fall,2692.0,company did not emerge,not emerged 5 years,NY Hauppauge,2003-03-19,c $500 million but less than $1billion,"c 1,000 but less than 10,000",721087865.0,799.0,Chapter 11,Pachulski Stang
69,AmericanWest Bancorporation,"H: Finance, Insurance, And Real Estate",60 Depository Institutions,Not tort,2010-10-28,confirmed,363 sale,1037.0,WA,WA ED,Spokane,Filed at headquarters,debtors,free fall,531.0,company did not emerge,not emerged 5 years,WA Spokane,2013-08-30,b $1 billion but less than $10 billion,"d 200 but less than 1,000",91767509.0,1972.0,Chapter 11,Foster Pepper
70,Americold Corp.,"E: Transportation, Communications, Electric, Gas",42 Motor Freight Transportation And Warehousing,Not tort,1995-05-09,confirmed,no 363 sale,41.0,OR,OR,"Portland, OR",Filed at headquarters,debtors,prepackaged,1889.0,Company emerged,"emerged 5 years, did not refile",OR Portland,1995-06-19,c $500 million but less than $1billion,"c 1,000 but less than 10,000",368291753.0,932.0,Chapter 11,Tonkon Torp
71,"Ameriserve Food Distribution, Inc.",F: Wholesale Trade,51 Wholesale Trade-non-durable Goods,Not tort,2000-01-31,confirmed,no 363 sale,302.0,DE,DE,Wilmington,Forum Shop,debtors,free fall,8000.0,company did not emerge,not emerged 5 years,TX Dallas,2000-11-28,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000",11451288827.0,2912.0,Chapter 11,Kirkland Ellis
72,AmeriTruck Distribution Corp.,"E: Transportation, Communications, Electric, Gas",42 Motor Freight Transportation And Warehousing,Not tort,1998-11-09,converted,no 363 sale,368.0,DE,TX ND,Fort Worth,Filed at headquarters,debtors,free fall,3400.0,company did not emerge,not emerged 5 years,TX Fort Worth,1999-11-12,d Less than $500 million,"c 1,000 but less than 10,000",463059242.0,419.0,Chapter 11,Neligan Foley
